Client Name,Client Id,Date Of Birth,Gender,Account No
Test Farmer30,165,1953-11-27,Male,0004-0026-0165
Test Farmer31,166,1949-11-27,Male,0003-0020-0166
Test Farmer32,167,1975-11-28,Male,0010-0026-0167
Test Farmer33,168,1953-11-28,Male,0011-0029-0168
Test Farmer34,169,1996-11-28,Male,0012-0026-0169
Aaron Kendall,170,1978-07-31,Male,0009-0027-0170
aaaaaaaaaa asssssssse,171,1994-07-17,Male,0013-0019-0171
aaron tester,172,1990-11-22,Male,0014-0019-0172
James M,173,,Male,0001-0001-0173
Ann Mambo,174,,Female,0010-0031-0174
Susan Cherono,175,1995-05-29,Female,0015-0019-0175
Test Kami,176,1985-05-27,Male,0016-0019-0176
James Bond,177,1976-05-27,Male,0017-0019-0177
Farmer Mombasa,178,1969-12-04,Female,0018-0019-0178
TesterE middle QA,179,1969-10-31,Female,0019-0032-0179
richard test,180,1965-11-17,Female,0001-0019-0180
George Lekenge Nabaala,181,1977-07-16,Male,0020-0019-0181
Nicholas Karoki,182,1959-02-25,Male,0021-0019-0182
Esther mokaya,183,1989-03-09,Female,0022-0033-0183
maximiller chemetei,184,1980-08-26,Female,0023-0034-0184
Charles Mose,185,1984-09-17,Male,0001-0035-0185
Joel Keter,186,1962-06-13,Male,0026-0019-0186
Richard Kilel,187,1954-06-27,Male,0026-0035-0187
leboi solomon Nkaiwatei,188,1986-07-16,Male,0020-0019-0188
AAAAAA Jamae,189,2017-09-14,Male,0009-0019-0189
Vincent Ntayia,190,1999-06-18,Male,0020-0019-0190
Samuel ntayia,191,1980-06-21,Male,0020-0019-0191
Joel MUSUNI,192,1982-07-19,Male,0020-0019-0192
Ismael Chelimo,193,1958-08-20,Male,0028-0037-0193
Test Farmer36,194,1976-12-10,Male,0029-0026-0194
Test Farmer37,195,,Male,0001-0001-0195
Makena Njeri,196,1984-12-10,Female,0001-0027-0196
Carlos Tevez,197,1983-12-10,Male,0001-0027-0197
Test Farmer38,198,1963-12-10,Male,0030-0026-0198
Test Farmer39,199,1959-12-10,Male,0031-0026-0199
martin walters,200,1969-12-11,Male,0014-0027-0200
Jane Nyala,201,1976-05-13,Female,0032-0039-0201
Mary Saoli,202,1985-06-15,Female,0001-0019-0202
Danson Yiankere,203,1994-06-15,Male,0001-0019-0203
Edwin Mosop,204,1986-09-24,Male,0001-0040-0204
Jurgen Klopp,205,1983-12-11,Male,0001-0027-0205
Test Farmer40,206,1959-12-13,Male,0037-0025-0206
Test Farmer41,207,1959-12-13,Male,0004-0025-0207
wilson mcckiney,208,1959-12-13,Male,0014-0027-0208
Client Test 10,209,,Male,0005-0029-0209
Melaine Hatter,210,,Male,0010-0030-0210
Joy Wachira,211,1995-01-01,Female,0001-0027-0211
Test Farmer01,212,,Male,0001-0019-0212
Millicent Mwamburi,213,1959-12-16,Female,0014-0027-0213
Alvin Fuosi,214,1969-12-17,Male,0014-0027-0214
betty kilimo,215,1959-12-17,Female,0014-0027-0215
mitchell angelo,216,1959-12-18,Male,0014-0027-0216
Test Farmer51,217,1964-12-18,Male,0038-0038-0217
martin wanjala,218,1959-12-18,Male,0014-0027-0218
mike okinyi,219,1959-12-18,Male,0014-0027-0219
Farmer Nyandaru,220,1959-12-20,Male,0039-0019-0220
